Wavelength,Intensity,Wavelength,Intensity,Wavelength,Intensity
771.48096,0.0013,779.12006,0.00282,771.48096,-0.00463
771.52126,0.00133,779.12868,0.00309,771.52126,0.00146
771.56156,0.0013,779.1373,0.00236,771.56156,-0.00991
771.60186,0.00131,779.14593,0.0025,771.60186,0.01914
771.64216,0.00125,779.15455,0.00175,771.64216,-0.01017
771.68245,0.0012,779.16317,0.00135,771.68245,-0.01132
771.72275,0.00143,779.17179,0.00195,771.72275,-0.01661
771.76305,0.00166,779.18041,0.00244,771.76305,-0.00789
771.80335,0.0016,779.18903,0.00218,771.80335,-0.01199
771.84365,0.00146,779.19765,0.00217,771.84365,0.01156
771.88394,0.0016,779.20626,0.00151,771.88394,0.00103
771.92424,0.0015,779.21488,0.00231,771.92424,0.00806
771.96454,0.00129,779.2235,0.00219,771.96454,-4.93E-04
772.00483,0.00149,779.23212,0.00196,772.00483,-0.01077
772.04513,0.00144,779.24074,0.00163,772.04513,-0.02087
772.08542,0.00141,779.24935,0.00296,772.08542,-0.03176
772.12572,0.00137,779.25797,0.0033,772.12572,8.08E-04
772.16601,0.00143,779.26659,0.0027,772.16601,-0.01427
772.20631,0.00142,779.2752,0.00238,772.20631,-0.01806
772.2466,0.00149,779.28382,0.00333,772.2466,-0.00341
772.2869,0.0014,779.29244,0.00223,772.2869,-0.00649
772.32719,0.00144,779.30105,0.00332,772.32719,-0.00182
772.36748,0.00163,779.30967,0.00388,772.36748,0.00407
772.40777,0.00172,779.31828,0.00391,772.40777,-0.00724
772.44806,0.00175,779.3269,0.00209,772.44806,0.02732
772.48836,0.00199,779.33551,0.00275,772.48836,-0.00243
772.52865,0.00213,779.34413,0.00204,772.52865,0.03171
772.56894,0.00204,779.35274,0.00279,772.56894,-0.00938
772.60923,0.00202,779.36135,0.00413,772.60923,-0.0013
772.64952,0.00203,779.36997,0.00368,772.64952,-0.00773
772.68981,0.00198,779.37858,0.00387,772.68981,-0.00715
772.7301,0.00208,779.38719,0.00318,772.7301,-0.00216
772.77039,0.00211,779.3958,0.00389,772.77039,-0.03628
